UDI,Product ID,p_failure,rank,alert_topk,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
5253,L52432,0.013929461436792816,1284,False,L,303.5,313.0,1322,59.5,71,0,0,0,0,0,0
5323,M20182,0.013929461436792816,1285,False,M,303.4,312.7,1357,55.3,31,0,0,0,0,0,0
5509,L52688,0.013929461436792816,1286,False,L,302.9,312.2,1367,55.1,50,0,0,0,0,0,0
5590,M20449,0.013929461436792816,1287,False,M,302.5,311.9,1298,57.5,57,0,0,0,0,0,0
5758,L52937,0.013929461436792816,1288,False,L,301.9,311.3,1366,55.6,57,0,0,0,0,0,0
6298,M21157,0.013929461436792816,1289,False,M,301.1,310.5,1309,60.7,100,0,0,0,0,0,0
6471,L53650,0.013929461436792816,1290,False,L,300.4,309.6,1379,54.5,122,0,0,0,0,0,0
6726,M21585,0.013929461436792816,1291,False,M,301.5,310.7,1359,47.1,115,0,0,0,0,0,0
6788,H36201,0.013929461436792816,1292,False,H,301.1,310.6,1388,58.5,68,0,0,0,0,0,0
8217,L55396,0.013929461436792816,1293,False,L,299.2,310.6,1370,61.9,42,0,0,0,0,0,0
8355,L55534,0.013929461436792816,1294,False,L,298.6,309.6,1390,50.3,196,0,0,0,0,0,0
8689,L55868,0.013929461436792816,1295,False,L,297.1,308.5,1483,46.9,203,0,0,0,0,0,0
8916,L56095,0.013929461436792816,1296,False,L,297.1,308.3,1403,54.1,179,0,0,0,0,0,0
9986,H39399,0.013929461436792816,1297,False,H,298.7,308.5,1572,35.6,202,0,0,0,0,0,0
246,M15105,0.013597981952412333,1298,False,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0
754,L47933,0.013597981952412333,1299,False,L,296.8,308.0,1536,40.4,217,0,0,0,0,0,0
1133,L48312,0.013597981952412333,1300,False,L,296.8,307.9,1271,61.4,125,0,0,0,0,0,0
1165,L48344,0.013597981952412333,1301,False,L,297.1,308.1,1754,30.3,206,0,0,0,0,0,0
2422,L49601,0.013597981952412333,1302,False,L,298.9,308.2,2384,15.0,19,0,0,0,0,0,0
2851,L50030,0.013597981952412333,1303,False,L,300.4,309.3,1671,35.0,209,0,0,0,0,0,0
3188,M18047,0.013597981952412333,1304,False,M,300.2,309.4,1752,27.8,208,0,0,0,0,0,0
3364,L50543,0.013597981952412333,1305,False,L,301.4,310.6,1555,43.3,212,0,0,0,0,0,0
3467,L50646,0.013597981952412333,1306,False,L,301.7,310.6,1447,56.9,47,0,0,0,0,0,0
3470,M18329,0.013597981952412333,1307,False,M,301.8,310.7,1429,47.9,53,0,0,0,0,0,0
3575,L50754,0.013597981952412333,1308,False,L,301.7,310.6,1406,46.0,112,0,0,0,0,0,0
3791,L50970,0.013597981952412333,1309,False,L,302.3,310.9,1412,48.9,28,0,0,0,0,0,0
3876,L51055,0.013597981952412333,1310,False,L,302.6,311.8,1427,50.1,21,0,0,0,0,0,0
4228,L51407,0.013597981952412333,1311,False,L,302.2,310.8,1383,46.9,45,0,0,0,0,0,0
4552,M19411,0.013597981952412333,1312,False,M,302.6,310.5,1524,33.7,204,0,0,0,0,0,0
4897,M19756,0.013597981952412333,1313,False,M,303.7,312.4,1642,32.3,206,0,0,0,0,0,0
6261,L53440,0.013597981952412333,1314,False,L,301.1,310.7,1436,45.3,8,0,0,0,0,0,0
6588,M21447,0.013597981952412333,1315,False,M,301.6,310.7,1813,24.6,210,0,0,0,0,0,0
6626,M21485,0.013597981952412333,1316,False,M,301.6,310.7,1421,44.4,94,0,0,0,0,0,0
6670,L53849,0.013597981952412333,1317,False,L,301.4,310.5,1571,33.9,208,0,0,0,0,0,0
7335,L54514,0.013597981952412333,1318,False,L,299.8,310.4,1694,30.3,204,0,0,0,0,0,0
8191,M23050,0.013597981952412333,1319,False,M,299.7,310.9,1620,37.2,203,0,0,0,0,0,0
9407,M24266,0.013597981952412333,1320,False,M,297.7,308.1,2189,15.6,186,0,0,0,0,0,0
1542,L48721,0.013552056409199266,1321,False,L,298.4,309.0,2304,15.1,89,0,0,0,0,0,0
3187,M18046,0.013552056409199266,1322,False,M,300.2,309.4,1456,48.8,205,0,0,0,0,0,0
4020,M18879,0.013552056409199266,1323,False,M,302.0,310.9,1558,45.3,193,0,0,0,0,0,0
5669,M20528,0.013552056409199266,1324,False,M,302.2,311.4,1432,45.3,33,0,0,0,0,0,0
5856,M20715,0.013552056409199266,1325,False,M,301.2,310.9,1424,45.2,68,0,0,0,0,0,0
9211,M24070,0.013552056409199266,1326,False,M,297.9,309.0,2456,13.9,82,0,0,0,0,0,0
9432,L56611,0.013552056409199266,1327,False,L,298.0,308.6,1430,57.0,43,0,0,0,0,0,0
756,H30169,0.013378497249464993,1328,False,H,296.8,308.1,1492,43.7,222,0,0,0,0,0,0
1459,L48638,0.013378497249464993,1329,False,L,298.9,310.3,1364,54.0,95,0,0,0,0,0,0
3678,M18537,0.013378497249464993,1330,False,M,302.3,311.7,1368,53.6,165,0,0,0,0,0,0
5265,L52444,0.013378497249464993,1331,False,L,303.4,312.8,1376,53.4,98,0,0,0,0,0,0
5269,L52448,0.013378497249464993,1332,False,L,303.4,312.9,1389,54.1,109,0,0,0,0,0,0
5301,M20160,0.013378497249464993,1333,False,M,303.8,313.2,1710,26.5,190,0,0,0,0,0,0
5648,H35061,0.013378497249464993,1334,False,H,302.5,311.8,2370,14.7,198,0,0,0,0,0,0
5717,L52896,0.013378497249464993,1335,False,L,302.3,312.0,1354,52.2,165,0,0,0,0,0,0
6405,M21264,0.013378497249464993,1336,False,M,300.2,309.7,1183,61.4,170,0,0,0,0,0,0
6464,H35877,0.013378497249464993,1337,False,H,300.5,310.0,1358,60.4,102,0,0,0,0,0,0
8423,H37836,0.013378497249464993,1338,False,H,298.9,310.3,1243,63.0,163,0,0,0,0,0,0
9314,L56493,0.013378497249464993,1339,False,L,298.5,309.4,1418,45.1,148,0,0,0,0,0,0
9878,L57057,0.013378497249464993,1340,False,L,298.8,309.7,1374,58.6,123,0,0,0,0,0,0
9896,L57075,0.013378497249464993,1341,False,L,298.8,309.4,1387,54.1,171,0,0,0,0,0,0
499,L47678,0.013377767559154317,1342,False,L,297.5,309.1,1611,30.2,211,0,0,0,0,0,0
1774,L48953,0.013377767559154317,1343,False,L,298.5,308.0,1384,59.5,27,0,0,0,0,0,0
1916,L49095,0.013377767559154317,1344,False,L,298.0,307.7,1492,38.7,202,0,0,0,0,0,0
1918,M16777,0.013377767559154317,1345,False,M,298.1,307.9,1463,47.3,206,0,0,0,0,0,0
2082,M16941,0.013377767559154317,1346,False,M,299.4,309.3,1485,47.1,209,0,0,0,0,0,0
2916,L50095,0.013377767559154317,1347,False,L,300.5,309.5,1255,62.1,138,0,0,0,0,0,0
3495,L50674,0.013377767559154317,1348,False,L,301.9,311.0,1356,45.7,119,0,0,0,0,0,0
3499,L50678,0.013377767559154317,1349,False,L,301.9,311.0,1289,54.9,128,0,0,0,0,0,0
3675,L50854,0.013377767559154317,1350,False,L,302.2,311.5,1346,52.4,157,0,0,0,0,0,0
3694,L50873,0.013377767559154317,1351,False,L,302.1,311.3,1521,31.5,202,0,0,0,0,0,0
3741,L50920,0.013377767559154317,1352,False,L,302.3,311.2,1401,49.7,118,0,0,0,0,0,0
3756,L50935,0.013377767559154317,1353,False,L,302.3,311.0,1329,51.5,154,0,0,0,0,0,0
3959,L51138,0.013377767559154317,1354,False,L,302.2,311.3,1378,55.5,35,0,0,0,0,0,0
3986,L51165,0.013377767559154317,1355,False,L,302.3,311.2,1386,50.3,110,0,0,0,0,0,0
3994,L51173,0.013377767559154317,1356,False,L,302.3,311.3,1324,47.8,131,0,0,0,0,0,0
4001,L51180,0.013377767559154317,1357,False,L,302.1,311.2,1422,50.3,146,0,0,0,0,0,0
4012,L51191,0.013377767559154317,1358,False,L,302.2,311.1,1447,52.1,174,0,0,0,0,0,0
4287,M19146,0.013377767559154317,1359,False,M,301.7,309.9,1434,47.9,189,0,0,0,0,0,0
4366,L51545,0.013377767559154317,1360,False,L,302.0,310.0,1449,48.8,181,0,0,0,0,0,0
4373,M19232,0.013377767559154317,1361,False,M,301.9,309.6,1439,41.7,201,0,0,0,0,0,0
4404,L51583,0.013377767559154317,1362,False,L,302.3,310.1,1388,49.9,48,0,0,0,0,0,0
4506,L51685,0.013377767559154317,1363,False,L,302.4,310.1,1426,46.8,95,0,0,0,0,0,0
4509,L51688,0.013377767559154317,1364,False,L,302.4,310.0,1426,46.6,102,0,0,0,0,0,0
4548,M19407,0.013377767559154317,1365,False,M,302.5,310.4,1451,53.6,194,0,0,0,0,0,0
4603,M19462,0.013377767559154317,1366,False,M,303.0,311.0,1409,41.7,120,0,0,0,0,0,0
4673,L51852,0.013377767559154317,1367,False,L,303.3,311.5,1412,55.6,67,0,0,0,0,0,0
4783,L51962,0.013377767559154317,1368,False,L,303.8,312.5,1368,52.6,123,0,0,0,0,0,0
4868,L52047,0.013377767559154317,1369,False,L,303.6,312.5,1345,54.1,126,0,0,0,0,0,0
4956,M19815,0.013377767559154317,1370,False,M,303.8,312.5,1366,45.1,143,0,0,0,0,0,0
4988,M19847,0.013377767559154317,1371,False,M,303.7,313.0,1303,54.4,2,0,0,0,0,0,0
5224,M20083,0.013377767559154317,1372,False,M,303.9,313.2,1350,47.2,2,0,0,0,0,0,0
5562,M20421,0.013377767559154317,1373,False,M,302.3,311.7,1341,46.3,194,0,0,0,0,0,0
5594,L52773,0.013377767559154317,1374,False,L,302.6,311.9,1354,48.0,67,0,0,0,0,0,0
5641,L52820,0.013377767559154317,1375,False,L,302.6,312.1,1420,51.6,182,0,0,0,0,0,0
5762,L52941,0.013377767559154317,1376,False,L,301.9,311.2,1369,49.8,66,0,0,0,0,0,0
5897,L53076,0.013377767559154317,1377,False,L,301.1,310.8,1274,55.7,169,0,0,0,0,0,0
6303,L53482,0.013377767559154317,1378,False,L,301.2,310.6,1437,51.2,112,0,0,0,0,0,0
6650,M21509,0.013377767559154317,1379,False,M,301.5,310.4,1350,54.9,153,0,0,0,0,0,0
6696,M21555,0.013377767559154317,1380,False,M,301.7,311.0,1311,55.8,39,0,0,0,0,0,0
6706,M21565,0.013377767559154317,1381,False,M,301.5,310.6,1382,58.1,67,0,0,0,0,0,0
6922,L54101,0.013377767559154317,1382,False,L,301.1,311.6,1432,48.1,202,0,0,0,0,0,0
7504,M22363,0.013377767559154317,1383,False,M,300.3,311.7,1646,28.9,198,0,0,0,0,0,0
8185,L55364,0.013377767559154317,1384,False,L,299.8,311.1,2144,17.7,190,0,0,0,0,0,0
8680,L55859,0.013377767559154317,1385,False,L,297.3,308.5,1456,54.2,179,0,0,0,0,0,0
9982,L57161,0.013377767559154317,1386,False,L,298.7,308.5,1353,47.0,190,0,0,0,0,0,0
233,L47412,0.01273937266631346,1387,False,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0
1501,M16360,0.01273937266631346,1388,False,M,298.0,308.7,2101,17.4,198,0,0,0,0,0,0
1558,L48737,0.01273937266631346,1389,False,L,298.3,308.4,1585,30.6,127,0,0,0,0,0,0
1758,M16617,0.01273937266631346,1390,False,M,298.1,307.4,1335,56.2,190,0,0,0,0,0,0
1837,L49016,0.01273937266631346,1391,False,L,297.7,307.2,1518,35.8,195,0,0,0,0,0,0
2576,L49755,0.01273937266631346,1392,False,L,299.5,309.3,1422,49.2,179,0,0,0,0,0,0
2754,L49933,0.01273937266631346,1393,False,L,299.7,309.1,1715,27.8,192,0,0,0,0,0,0
3255,M18114,0.01273937266631346,1394,False,M,301.0,309.7,1288,58.4,162,0,0,0,0,0,0
3359,L50538,0.01273937266631346,1395,False,L,301.5,310.6,1522,36.6,202,0,0,0,0,0,0
3813,L50992,0.01273937266631346,1396,False,L,302.0,310.6,1392,50.0,84,0,0,0,0,0,0
4065,L51244,0.01273937266631346,1397,False,L,301.9,310.7,1480,47.1,68,0,0,0,0,0,0
4594,L51773,0.01273937266631346,1398,False,L,303.0,311.2,1409,41.9,98,0,0,0,0,0,0
4710,M19569,0.01273937266631346,1399,False,M,303.4,311.6,1446,50.0,163,0,0,0,0,0,0
4768,L51947,0.01273937266631346,1400,False,L,303.6,311.9,1473,50.1,84,0,0,0,0,0,0
4798,L51977,0.01273937266631346,1401,False,L,303.5,312.5,1380,46.1,166,0,0,0,0,0,0
4856,L52035,0.01273937266631346,1402,False,L,303.7,312.3,1375,46.2,98,0,0,0,0,0,0
5092,L52271,0.01273937266631346,1403,False,L,303.9,313.2,1345,48.2,77,0,0,0,0,0,0
5213,L52392,0.01273937266631346,1404,False,L,303.7,312.5,1397,45.7,187,0,0,0,0,0,0
5231,M20090,0.01273937266631346,1405,False,M,303.8,313.1,2117,18.6,22,0,0,0,0,0,0
5476,L52655,0.01273937266631346,1406,False,L,302.7,312.2,1336,46.8,179,0,0,0,0,0,0
5566,L52745,0.01273937266631346,1407,False,L,302.4,311.9,1671,29.9,204,0,0,0,0,0,0
5593,L52772,0.01273937266631346,1408,False,L,302.5,311.9,1437,46.7,65,0,0,0,0,0,0
5727,M20586,0.01273937266631346,1409,False,M,302.4,311.9,1398,50.1,188,0,0,0,0,0,0
5932,L53111,0.01273937266631346,1410,False,L,300.3,310.4,1336,54.4,52,0,0,0,0,0,0
6046,L53225,0.01273937266631346,1411,False,L,300.8,310.9,1311,55.8,118,0,0,0,0,0,0
6489,L53668,0.01273937266631346,1412,False,L,300.7,309.8,1330,54.4,171,0,0,0,0,0,0
6504,M21363,0.01273937266631346,1413,False,M,300.9,309.9,1465,42.9,209,0,0,0,0,0,0
6540,L53719,0.01273937266631346,1414,False,L,301.4,310.7,1436,54.1,90,0,0,0,0,0,0
6831,M21690,0.01273937266631346,1415,False,M,301.0,310.9,1359,53.4,180,0,0,0,0,0,0
6877,L54056,0.01273937266631346,1416,False,L,300.8,311.2,1430,54.4,85,0,0,0,0,0,0
7006,M21865,0.01273937266631346,1417,False,M,300.6,310.7,1339,52.9,0,0,0,0,0,0,0
7839,L55018,0.01273937266631346,1418,False,L,300.2,311.6,1372,49.2,195,0,0,0,0,0,0
8518,M23377,0.01273937266631346,1419,False,M,298.3,309.6,1469,54.8,191,0,0,0,0,0,0
8767,L55946,0.01273937266631346,1420,False,L,297.5,308.8,1360,50.7,190,0,0,0,0,0,0
4533,H33946,0.012698811832132872,1421,False,H,302.5,310.4,1422,41.9,156,0,0,0,0,0,0
1433,L48612,0.012525513527517537,1422,False,L,298.8,309.8,1437,42.8,23,0,0,0,0,0,0
5022,L52201,0.012525513527517537,1423,False,L,304.0,313.0,1350,61.1,88,0,0,0,0,0,0
5126,M19985,0.012525513527517537,1424,False,M,304.3,313.5,1416,48.1,167,0,0,0,0,0,0
5128,M19987,0.012525513527517537,1425,False,M,304.3,313.5,2245,15.1,172,0,0,0,0,0,0
5140,M19999,0.012525513527517537,1426,False,M,304.4,313.6,1510,38.9,199,0,0,0,0,0,0
6699,L53878,0.012525513527517537,1427,False,L,301.6,310.8,1418,44.7,46,0,0,0,0,0,0
7729,L54908,0.012525513527517537,1428,False,L,300.7,311.8,1420,47.0,119,0,0,0,0,0,0
7759,L54938,0.012525513527517537,1429,False,L,300.4,311.8,1689,30.8,196,0,0,0,0,0,0
8178,L55357,0.012525513527517537,1430,False,L,299.7,311.1,1439,44.9,174,0,0,0,0,0,0
1472,L48651,0.012374100614894629,1431,False,L,298.5,309.6,1421,53.6,122,0,0,0,0,0,0
3160,H32573,0.012374100614894629,1432,False,H,300.4,309.8,1409,47.5,138,0,0,0,0,0,0
3172,L50351,0.012374100614894629,1433,False,L,300.4,309.6,1386,56.9,170,0,0,0,0,0,0
5363,L52542,0.012374100614894629,1434,False,L,303.2,312.6,1281,57.0,144,0,0,0,0,0,0
7492,L54671,0.012374100614894629,1435,False,L,300.4,311.8,1320,57.9,168,0,0,0,0,0,0
7568,M22427,0.012374100614894629,1436,False,M,300.2,311.0,2370,14.7,144,0,0,0,0,0,0
7748,M22607,0.012374100614894629,1437,False,M,300.5,311.8,1331,55.3,167,0,0,0,0,0,0
7978,L55157,0.012374100614894629,1438,False,L,301.2,312.4,1378,59.0,95,0,0,0,0,0,0
9642,L56821,0.012374100614894629,1439,False,L,299.3,310.4,1365,53.9,171,0,0,0,0,0,0
9711,L56890,0.012374100614894629,1440,False,L,299.1,310.1,1336,61.3,94,0,0,0,0,0,0
5138,L52317,0.012191512191512191,1441,False,L,304.3,313.5,1464,36.7,194,0,0,0,0,0,0
8113,M22972,0.012191512191512191,1442,False,M,300.4,311.8,1442,45.1,0,0,0,0,0,0,0
9782,L56961,0.012191512191512191,1443,False,L,298.8,309.9,1441,41.6,62,0,0,0,0,0,0
67,M14926,0.012085777895071629,1444,False,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0
148,L47327,0.012085777895071629,1445,False,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0
1665,L48844,0.012085777895071629,1446,False,L,298.2,308.0,1535,38.0,179,0,0,0,0,0,0
1761,L48940,0.012085777895071629,1447,False,L,298.1,307.5,1684,33.1,200,0,0,0,0,0,0
2153,M17012,0.012085777895071629,1448,False,M,299.3,308.8,1648,28.4,188,0,0,0,0,0,0
2325,L49504,0.012085777895071629,1449,False,L,299.3,308.8,1636,29.9,201,0,0,0,0,0,0
2716,M17575,0.012085777895071629,1450,False,M,299.5,309.0,1701,28.6,98,0,0,0,0,0,0
2929,M17788,0.012085777895071629,1451,False,M,300.8,309.7,1258,54.9,168,0,0,0,0,0,0
2936,M17795,0.012085777895071629,1452,False,M,300.8,309.7,1680,28.2,189,0,0,0,0,0,0
3516,M18375,0.012085777895071629,1453,False,M,301.9,311.1,1605,40.0,179,0,0,0,0,0,0
3593,H33006,0.012085777895071629,1454,False,H,301.6,310.4,1369,45.4,156,0,0,0,0,0,0
3684,M18543,0.012085777895071629,1455,False,M,302.0,311.2,1558,39.1,179,0,0,0,0,0,0
3851,M18710,0.012085777895071629,1456,False,M,302.3,311.0,1421,41.3,182,0,0,0,0,0,0
3935,M18794,0.012085777895071629,1457,False,M,302.6,311.6,1518,39.0,184,0,0,0,0,0,0
4678,H34091,0.012085777895071629,1458,False,H,303.5,311.6,1466,47.0,80,0,0,0,0,0,0
4764,L51943,0.012085777895071629,1459,False,L,303.7,312.1,1443,45.9,74,0,0,0,0,0,0
4887,L52066,0.012085777895071629,1460,False,L,303.8,312.5,1372,45.7,180,0,0,0,0,0,0
5008,L52187,0.012085777895071629,1461,False,L,303.8,312.9,1442,48.3,52,0,0,0,0,0,0
5031,M19890,0.012085777895071629,1462,False,M,303.9,313.1,1437,48.3,110,0,0,0,0,0,0
6029,L53208,0.012085777895071629,1463,False,L,300.6,310.9,1472,47.6,75,0,0,0,0,0,0
6031,L53210,0.012085777895071629,1464,False,L,300.6,310.7,1397,53.7,80,0,0,0,0,0,0
6042,M20901,0.012085777895071629,1465,False,M,300.7,311.0,1418,49.3,106,0,0,0,0,0,0
6117,L53296,0.012085777895071629,1466,False,L,300.8,310.9,1453,43.9,84,0,0,0,0,0,0
6155,M21014,0.012085777895071629,1467,False,M,301.0,310.9,1765,24.2,179,0,0,0,0,0,0
7627,H37040,0.012085777895071629,1468,False,H,300.5,311.6,1351,53.5,78,0,0,0,0,0,0
7753,M22612,0.012085777895071629,1469,False,M,300.4,311.7,1832,24.2,179,0,0,0,0,0,0
7930,M22789,0.012085777895071629,1470,False,M,300.6,311.6,1669,29.2,200,0,0,0,0,0,0
9567,L56746,0.012085777895071629,1471,False,L,299.8,311.1,1603,35.1,179,0,0,0,0,0,0
9784,H39197,0.011853398851965595,1472,False,H,298.8,309.9,1466,44.6,66,0,0,0,0,0,0
5519,M20378,0.011823136427566806,1473,False,M,302.5,311.8,2023,19.1,74,0,0,0,0,0,0
8485,L55664,0.011823136427566806,1474,False,L,298.4,309.5,1397,50.3,110,0,0,0,0,0,0
751,L47930,0.011801560414617293,1475,False,L,296.7,308.0,1535,36.8,210,0,0,0,0,0,0
3412,L50591,0.011801560414617293,1476,False,L,301.3,310.3,1419,55.7,125,0,0,0,0,0,0
3462,H32875,0.011801560414617293,1477,False,H,301.6,310.4,1330,49.5,30,0,0,0,0,0,0
3611,M18470,0.011801560414617293,1478,False,M,301.7,310.8,1594,32.4,204,0,0,0,0,0,0
4747,L51926,0.011801560414617293,1479,False,L,303.2,311.2,1427,45.6,25,0,0,0,0,0,0
4803,M19662,0.011801560414617293,1480,False,M,303.5,312.4,1318,54.2,177,0,0,0,0,0,0
5057,M19916,0.011801560414617293,1481,False,M,303.9,312.9,1430,53.5,189,0,0,0,0,0,0
5218,M20077,0.011801560414617293,1482,False,M,303.8,312.8,1420,47.9,200,0,0,0,0,0,0
6188,L53367,0.011801560414617293,1483,False,L,301.0,311.0,1437,56.0,33,0,0,0,0,0,0
7128,L54307,0.011801560414617293,1484,False,L,300.6,310.0,1438,53.8,103,0,0,0,0,0,0
8344,H37757,0.011801560414617293,1485,False,H,298.8,309.8,1437,48.2,164,0,0,0,0,0,0
9987,M24846,0.011801560414617293,1486,False,M,298.8,308.6,1507,42.3,207,0,0,0,0,0,0
2802,M17661,0.011646152718684065,1487,False,M,300.2,309.5,1642,28.8,92,0,0,0,0,0,0
1301,L48480,0.011509761802518175,1488,False,L,298.7,309.8,1322,57.0,140,0,0,0,0,0,0
1503,L48682,0.011509761802518175,1489,False,L,298.0,308.7,1462,48.2,204,0,0,0,0,0,0
2991,L50170,0.011509761802518175,1490,False,L,300.6,309.8,1688,28.6,135,0,0,0,0,0,0
3358,H32771,0.011509761802518175,1491,False,H,301.6,310.7,1414,51.7,197,0,0,0,0,0,0
3504,L50683,0.011509761802518175,1492,False,L,301.7,310.8,1493,47.6,145,0,0,0,0,0,0
3686,M18545,0.011509761802518175,1493,False,M,301.9,311.1,1380,51.6,184,0,0,0,0,0,0
3891,L51070,0.011509761802518175,1494,False,L,302.3,311.2,1386,53.5,59,0,0,0,0,0,0
3892,L51071,0.011509761802518175,1495,False,L,302.2,311.1,1418,47.0,61,0,0,0,0,0,0
3950,L51129,0.011509761802518175,1496,False,L,302.3,311.5,1384,50.8,13,0,0,0,0,0,0
4179,L51358,0.011509761802518175,1497,False,L,302.5,310.9,1624,34.4,146,0,0,0,0,0,0
4244,M19103,0.011509761802518175,1498,False,M,302.4,310.9,1435,42.3,83,0,0,0,0,0,0
4827,L52006,0.011509761802518175,1499,False,L,303.4,311.8,2268,15.8,20,0,0,0,0,0,0
4983,L52162,0.011509761802518175,1500,False,L,303.7,313.0,1811,24.3,209,0,0,0,0,0,0
5106,L52285,0.011509761802518175,1501,False,L,304.1,313.4,1374,56.6,115,0,0,0,0,0,0
5656,L52835,0.011509761802518175,1502,False,L,302.3,311.5,1387,47.3,2,0,0,0,0,0,0
6617,M21476,0.011509761802518175,1503,False,M,301.7,310.6,1380,45.8,70,0,0,0,0,0,0
6714,L53893,0.011509761802518175,1504,False,L,301.3,310.6,1416,45.2,88,0,0,0,0,0,0
7085,L54264,0.011509761802518175,1505,False,L,300.6,310.3,1794,24.4,211,0,0,0,0,0,0
7147,L54326,0.011509761802518175,1506,False,L,300.4,309.9,1496,31.8,154,0,0,0,0,0,0
7273,L54452,0.011509761802518175,1507,False,L,300.2,310.3,1202,59.5,40,0,0,0,0,0,0
8281,L55460,0.011509761802518175,1508,False,L,298.8,310.6,1602,39.1,211,0,0,0,0,0,0
9690,L56869,0.011509761802518175,1509,False,L,299.0,310.1,1362,59.5,46,0,0,0,0,0,0
9873,L57052,0.011509761802518175,1510,False,L,298.9,309.9,1373,52.1,108,0,0,0,0,0,0
1434,L48613,0.011463836259305108,1511,False,L,298.8,309.8,1363,44.0,25,0,0,0,0,0,0
1467,L48646,0.011463836259305108,1512,False,L,298.7,309.8,1365,50.5,111,0,0,0,0,0,0
3152,L50331,0.011463836259305108,1513,False,L,300.5,309.8,1428,43.8,119,0,0,0,0,0,0
3466,M18325,0.011463836259305108,1514,False,M,301.8,310.7,1383,45.7,44,0,0,0,0,0,0
5086,M19945,0.011463836259305108,1515,False,M,304.0,313.0,1377,56.0,61,0,0,0,0,0,0
9412,L56591,0.011463836259305108,1516,False,L,298.0,308.5,1404,46.6,201,0,0,0,0,0,0
9783,L56962,0.011463836259305108,1517,False,L,298.7,309.9,1404,47.1,64,0,0,0,0,0,0
9868,L57047,0.011463836259305108,1518,False,L,299.0,309.9,1411,44.7,94,0,0,0,0,0,0
7501,L54680,0.011338856140789727,1519,False,L,300.2,311.8,1410,51.4,189,0,0,0,0,0,0
3622,L50801,0.011301632189999834,1520,False,L,301.9,311.2,1657,29.1,23,0,0,0,0,0,0
7630,M22489,0.011301632189999834,1521,False,M,300.5,311.7,1269,64.0,87,0,0,0,0,0,0
8404,L55583,0.011301632189999834,1522,False,L,298.5,309.6,1462,45.1,115,0,0,0,0,0,0
9231,L56410,0.011301632189999834,1523,False,L,298.2,309.2,1922,22.6,132,0,0,0,0,0,0
7922,L55101,0.011163165521776435,1524,False,L,300.7,311.9,1419,47.7,179,0,0,0,0,0,0
5496,H34909,0.011037784027916782,1525,False,H,302.9,312.5,1357,55.0,12,0,0,0,0,0,1
1770,L48949,0.01096763085399449,1526,False,L,298.4,307.9,1981,23.2,16,0,0,0,0,0,0
9071,L56250,0.01096763085399449,1527,False,L,297.1,308.2,1427,45.2,136,0,0,0,0,0,0
6729,L53908,0.010750668002672012,1528,False,L,301.5,310.9,1891,23.2,122,0,0,0,0,0,0
6772,M21631,0.010750668002672012,1529,False,M,301.2,310.7,1962,22.5,28,0,0,0,0,0,0
2932,L50111,0.010509570750534608,1530,False,L,300.8,309.7,1373,45.4,179,0,0,0,0,0,0
3838,L51017,0.010509570750534608,1531,False,L,302.4,311.2,1450,47.9,154,0,0,0,0,0,0
4195,L51374,0.010509570750534608,1532,False,L,302.4,311.0,1423,46.2,186,0,0,0,0,0,0
1288,L48467,0.010437293377623377,1533,False,L,298.5,309.6,1419,41.5,105,0,0,0,0,0,0
2869,L50048,0.010437293377623377,1534,False,L,300.8,309.7,1418,46.6,12,0,0,0,0,0,0
3533,L50712,0.010437293377623377,1535,False,L,301.9,310.9,1486,40.3,6,0,0,0,0,0,0
4043,L51222,0.010437293377623377,1536,False,L,302.0,310.9,1564,39.0,15,0,0,0,0,0,0
4059,M18918,0.010437293377623377,1537,False,M,302.0,310.9,1456,47.2,54,0,0,0,0,0,0
6342,M21201,0.010437293377623377,1538,False,M,300.4,309.8,1421,47.2,0,0,0,0,0,0,0
6476,L53655,0.010437293377623377,1539,False,L,300.5,309.7,1560,30.2,139,0,0,0,0,0,0
6598,L53777,0.010437293377623377,1540,False,L,301.5,310.6,1481,46.8,20,0,0,0,0,0,0
6601,M21460,0.010437293377623377,1541,False,M,301.5,310.6,1424,47.0,26,0,0,0,0,0,0
7634,L54813,0.010437293377623377,1542,False,L,300.4,311.5,1441,44.6,96,0,0,0,0,0,0
8316,H37729,0.010437293377623377,1543,False,H,298.7,309.8,1422,40.7,85,0,0,0,0,0,0
8486,L55665,0.010437293377623377,1544,False,L,298.4,309.5,1450,47.9,112,0,0,0,0,0,0
9515,L56694,0.010437293377623377,1545,False,L,299.0,310.1,1416,45.9,47,0,0,0,0,0,0
2285,L49464,0.010265034142361634,1546,False,L,299.2,308.5,1378,53.4,100,0,0,0,0,0,0
2304,L49483,0.010265034142361634,1547,False,L,299.2,308.5,1374,53.6,143,0,0,0,0,0,0
5413,L52592,0.010265034142361634,1548,False,L,302.9,312.6,1328,59.9,24,0,0,0,0,0,0
5805,L52984,0.010265034142361634,1549,False,L,301.5,310.9,1365,46.5,172,0,0,0,0,0,0
6556,H35969,0.010265034142361634,1550,False,H,301.5,310.7,1394,46.7,130,0,0,0,0,0,0
